id;sku;name;category;unit;quantity;note
P-001;SKU-001;М'яка іграшка Ведмедик;іграшка;шт;45;
P-002;SKU-002;Магніт Львів;магніт;шт;120;
P-003;SKU-003;Дерев'яний магніт-планшет;дерево;шт;60;
P-004;SKU-004;Чашка з принтом міста;посуд;шт;80;
P-005;SKU-005;Бокал скляний сувенірний;посуд;шт;35;
P-006;SKU-006;Стікерпак Україна;стікер;уп;200;
P-007;SKU-007;Шкарпетки з вишивкою;шкарпетки;пара;150;
P-008;SKU-008;Настільна гра Мафія;гра;шт;25;
P-009;SKU-009;Блокнот шкіряний А5;блокнот;шт;70;
P-010;SKU-010;М'яка іграшка Заєць;іграшка;шт;55;Хіт продажів
P-011;SKU-011;Магніт дерев'яний Карпати;дерево;шт;90;
